t=2026-02-20T10:54:06-0500 lvl=info msg="no configuration paths supplied"
t=2026-02-20T10:54:06-0500 lvl=info msg="using configuration at default config path" path=C:\\Users\\via\\AppData\\Local/ngrok/ngrok.yml
t=2026-02-20T10:54:06-0500 lvl=info msg="open config file" path=C:\\Users\\via\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-02-20T10:54:06-0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-20T10:54:06-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-20T10:54:06-0500 lvl=info msg=start pg=/api/tunnels id=07dd29df017e3f87
t=2026-02-20T10:54:06-0500 lvl=info msg=end pg=/api/tunnels id=07dd29df017e3f87 status=200 dur=502.4µs
t=2026-02-20T10:54:07-0500 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-20T10:54:07-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-20T10:54:07-0500 lvl=info msg="update available" obj=updater
t=2026-02-20T10:54:07-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://crooked-fanny-principally.ngrok-free.dev
t=2026-02-20T10:54:07-0500 lvl=info msg="join connections" obj=join id=4b5ce6e17d5c l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:64456
t=2026-02-20T10:54:08-0500 lvl=info msg="join connections" obj=join id=7ec9b0d2dd62 l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:64456
t=2026-02-20T10:54:08-0500 lvl=info msg=start pg=/api/tunnels id=c83101fb1ef949bd
t=2026-02-20T10:54:08-0500 lvl=info msg=end pg=/api/tunnels id=c83101fb1ef949bd status=200 dur=0s
t=2026-02-20T10:54:08-0500 lvl=info msg="join connections" obj=join id=08b76a122e90 l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:60901
t=2026-02-20T10:54:09-0500 lvl=info msg="join connections" obj=join id=d3e20b97692a l=[::1]:3000 r=132.184.55.198:37755
t=2026-02-20T10:54:09-0500 lvl=info msg="join connections" obj=join id=d870fb186773 l=[::1]:3000 r=132.184.55.198:37755
t=2026-02-20T10:54:09-0500 lvl=info msg="join connections" obj=join id=427a86f1a080 l=[::1]:3000 r=132.184.55.198:38483
t=2026-02-20T10:54:10-0500 lvl=info msg="join connections" obj=join id=038551388a38 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:49941
t=2026-02-20T10:54:11-0500 lvl=info msg="join connections" obj=join id=0a5647f6177d l=[::1]:3000 r=132.184.55.47:38562
t=2026-02-20T10:54:11-0500 lvl=info msg="join connections" obj=join id=70a6dbccefd3 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:49941
t=2026-02-20T10:54:11-0500 lvl=info msg="join connections" obj=join id=9a54743d9074 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:54133
t=2026-02-20T10:54:11-0500 lvl=info msg="join connections" obj=join id=25ac85fda2ac l=[::1]:3000 r=132.184.55.47:39273
t=2026-02-20T10:54:11-0500 lvl=info msg="join connections" obj=join id=b83d256553c0 l=[::1]:3000 r=132.184.55.47:38562
t=2026-02-20T10:54:12-0500 lvl=info msg="join connections" obj=join id=9d861a7202c7 l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:51812
t=2026-02-20T10:54:12-0500 lvl=info msg="join connections" obj=join id=890bcb2200ed l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:51812
t=2026-02-20T10:54:13-0500 lvl=info msg="join connections" obj=join id=4932bd5f1e83 l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:52562
t=2026-02-20T10:54:35-0500 lvl=info msg="join connections" obj=join id=1477c79958ec l=[::1]:3000 r=132.184.55.198:61002
t=2026-02-20T10:54:35-0500 lvl=info msg="join connections" obj=join id=2174f8d86fb5 l=[::1]:3000 r=132.184.55.198:61002
t=2026-02-20T10:54:35-0500 lvl=info msg="join connections" obj=join id=456256d557c0 l=[::1]:3000 r=132.184.55.198:62570
t=2026-02-20T10:54:39-0500 lvl=info msg="join connections" obj=join id=8917f8504325 l=[::1]:3000 r=132.184.55.198:1162
t=2026-02-20T10:54:39-0500 lvl=info msg="join connections" obj=join id=7ab121941e3d l=[::1]:3000 r=132.184.55.198:1162
t=2026-02-20T10:54:39-0500 lvl=info msg="join connections" obj=join id=40ce88073864 l=[::1]:3000 r=132.184.55.198:1162
t=2026-02-20T10:54:39-0500 lvl=info msg="join connections" obj=join id=6233d85b0293 l=[::1]:3000 r=132.184.55.198:1162
t=2026-02-20T10:54:40-0500 lvl=info msg="join connections" obj=join id=852000430f7d l=[::1]:3000 r=132.184.55.198:1162
t=2026-02-20T10:54:40-0500 lvl=info msg="join connections" obj=join id=3826215d7590 l=[::1]:3000 r=132.184.55.198:2386
t=2026-02-20T10:54:42-0500 lvl=info msg="join connections" obj=join id=fd871528a765 l=[::1]:3000 r=132.184.55.198:1162
t=2026-02-20T10:55:29-0500 lvl=info msg="join connections" obj=join id=357598906ebb l=[::1]:3000 r=132.184.55.198:46274
t=2026-02-20T10:55:29-0500 lvl=info msg="join connections" obj=join id=7ec06fad3091 l=[::1]:3000 r=132.184.55.198:46402
t=2026-02-20T10:55:31-0500 lvl=info msg="join connections" obj=join id=c2032dc557f3 l=[::1]:3000 r=132.184.55.198:47417
t=2026-02-20T10:55:31-0500 lvl=info msg="join connections" obj=join id=d3836fa17d4c l=[::1]:3000 r=132.184.55.198:46402
t=2026-02-20T10:55:53-0500 lvl=info msg="join connections" obj=join id=9b8b86fd0dd1 l=[::1]:3000 r=132.184.55.198:1366
t=2026-02-20T10:55:58-0500 lvl=info msg="join connections" obj=join id=9e46ae91ee5c l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:64456
t=2026-02-20T10:55:59-0500 lvl=info msg="join connections" obj=join id=1568d27c5c71 l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:64456
t=2026-02-20T10:55:59-0500 lvl=info msg="join connections" obj=join id=11615440115a l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:64456
t=2026-02-20T10:55:59-0500 lvl=info msg="join connections" obj=join id=75872133b815 l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:64456
t=2026-02-20T10:56:00-0500 lvl=info msg="join connections" obj=join id=31eb087f82e4 l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:64456
t=2026-02-20T10:56:01-0500 lvl=info msg="join connections" obj=join id=ec85e4c33ad7 l=[::1]:3000 r=[2803:a3e0:1990:5e70:1518:6134:1982:8532]:55381
t=2026-02-20T10:56:07-0500 lvl=info msg="join connections" obj=join id=c6293177c208 l=[::1]:3000 r=132.184.55.198:1366
t=2026-02-20T10:56:07-0500 lvl=info msg="join connections" obj=join id=7f2a91c8aabf l=[::1]:3000 r=132.184.55.198:46402
t=2026-02-20T10:56:08-0500 lvl=info msg="join connections" obj=join id=59cd35110983 l=[::1]:3000 r=132.184.55.198:46402
t=2026-02-20T10:56:08-0500 lvl=info msg="join connections" obj=join id=bef8b6ed5ae3 l=[::1]:3000 r=132.184.55.198:15414
t=2026-02-20T10:56:43-0500 lvl=info msg="join connections" obj=join id=37481edf5243 l=[::1]:3000 r=132.184.55.198:46580
t=2026-02-20T10:56:53-0500 lvl=info msg="join connections" obj=join id=f1a7b31b2451 l=[::1]:3000 r=132.184.55.198:46580
t=2026-02-20T10:57:26-0500 lvl=info msg="join connections" obj=join id=655164cee646 l=[::1]:3000 r=132.184.55.198:22313
t=2026-02-20T10:58:48-0500 lvl=info msg="join connections" obj=join id=2d992c781967 l=[::1]:3000 r=132.184.55.198:22313
t=2026-02-20T10:58:49-0500 lvl=info msg="join connections" obj=join id=0f54fcefb9bb l=[::1]:3000 r=132.184.55.198:41429
t=2026-02-20T10:59:22-0500 lvl=info msg="join connections" obj=join id=3ea78d5b5fe6 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T10:59:22-0500 lvl=info msg="join connections" obj=join id=c8d8098a13e5 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T10:59:22-0500 lvl=info msg="join connections" obj=join id=cca7cafed600 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T10:59:22-0500 lvl=info msg="join connections" obj=join id=9efc8900cff2 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T10:59:25-0500 lvl=info msg="join connections" obj=join id=e5787ffba597 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:61463
t=2026-02-20T10:59:28-0500 lvl=info msg="join connections" obj=join id=4b1e93f29821 l=[::1]:3000 r=132.184.55.198:22313
t=2026-02-20T10:59:34-0500 lvl=info msg="join connections" obj=join id=5d7e8afc3d51 l=[::1]:3000 r=132.184.55.47:15491
t=2026-02-20T10:59:35-0500 lvl=info msg="join connections" obj=join id=636f75a843d7 l=[::1]:3000 r=132.184.55.47:16791
t=2026-02-20T10:59:36-0500 lvl=info msg="join connections" obj=join id=f00820c55979 l=[::1]:3000 r=132.184.55.47:16791
t=2026-02-20T10:59:36-0500 lvl=info msg="join connections" obj=join id=2a8f4899de0e l=[::1]:3000 r=132.184.55.47:18136
t=2026-02-20T11:00:07-0500 lvl=info msg="join connections" obj=join id=2767d1851477 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:00:07-0500 lvl=info msg="join connections" obj=join id=f4ee9607d941 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:00:07-0500 lvl=info msg="join connections" obj=join id=806f12c2db1a l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:00:07-0500 lvl=info msg="join connections" obj=join id=a603ea3542f2 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:00:09-0500 lvl=info msg="join connections" obj=join id=0d4db8ff81fa l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:00:09-0500 lvl=info msg="join connections" obj=join id=3f6c698b611d l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:57456
t=2026-02-20T11:00:10-0500 lvl=info msg="join connections" obj=join id=8cb7c4edf66b l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:00:10-0500 lvl=info msg="join connections" obj=join id=a69cb46d3fc7 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:00:11-0500 lvl=info msg="join connections" obj=join id=2d1cf58441ca l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:00:12-0500 lvl=info msg="join connections" obj=join id=a6f798767eae l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:60199
t=2026-02-20T11:02:38-0500 lvl=info msg="join connections" obj=join id=6ec92170453c l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:02:38-0500 lvl=info msg="join connections" obj=join id=80e372e9aac5 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:02:38-0500 lvl=info msg="join connections" obj=join id=e5828b291701 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:02:38-0500 lvl=info msg="join connections" obj=join id=da7767f4a830 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:02:40-0500 lvl=info msg="join connections" obj=join id=d314fd217c44 l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:53550
t=2026-02-20T11:02:40-0500 lvl=info msg="join connections" obj=join id=772a242b7ddd l=[::1]:3000 r=[2803:a3e0:1990:5e70:49d3:ec20:b551:176f]:51755
t=2026-02-20T11:02:43-0500 lvl=info msg="join connections" obj=join id=87b6cb505e60 l=[::1]:3000 r=132.184.55.47:15491
t=2026-02-20T11:02:44-0500 lvl=info msg="join connections" obj=join id=8d6db8747d62 l=[::1]:3000 r=132.184.55.47:16791
t=2026-02-20T11:02:44-0500 lvl=info msg="join connections" obj=join id=3ab041dc95cb l=[::1]:3000 r=132.184.55.47:16791
t=2026-02-20T11:02:44-0500 lvl=info msg="join connections" obj=join id=695fec6a3706 l=[::1]:3000 r=132.184.55.47:39582
t=2026-02-20T11:22:04-0500 lvl=info msg="join connections" obj=join id=9cc328b9f136 l=[::1]:3000 r=132.184.55.198:40655
t=2026-02-20T11:22:04-0500 lvl=info msg="join connections" obj=join id=47eea418d35a l=[::1]:3000 r=132.184.55.198:40655
t=2026-02-20T11:22:04-0500 lvl=info msg="join connections" obj=join id=cff02c6ef779 l=[::1]:3000 r=132.184.55.198:41648
t=2026-02-20T11:22:18-0500 lvl=info msg="join connections" obj=join id=edf251f90a05 l=[::1]:3000 r=132.184.55.198:59340
t=2026-02-20T11:22:18-0500 lvl=info msg="join connections" obj=join id=d27d40b21303 l=[::1]:3000 r=132.184.55.198:59340
t=2026-02-20T11:22:19-0500 lvl=info msg="join connections" obj=join id=a717201f06a8 l=[::1]:3000 r=132.184.55.198:60182
t=2026-02-20T11:37:58-0500 lvl=info msg="join connections" obj=join id=220f0da15e75 l=[::1]:3000 r=132.184.55.198:56843
t=2026-02-20T11:50:58-0500 lvl=info msg="join connections" obj=join id=60393dc7a214 l=[::1]:3000 r=132.184.55.47:43057
t=2026-02-20T11:51:48-0500 lvl=info msg="join connections" obj=join id=f4ed6d30306a l=[::1]:3000 r=132.184.55.47:26698
t=2026-02-20T11:51:49-0500 lvl=info msg="join connections" obj=join id=61853c43d7ea l=[::1]:3000 r=132.184.55.47:26698
t=2026-02-20T11:51:49-0500 lvl=info msg="join connections" obj=join id=4c8c9f1a7a54 l=[::1]:3000 r=132.184.55.47:27378
t=2026-02-20T12:06:25-0500 lvl=info msg="join connections" obj=join id=18395fbb0b2b l=[::1]:3000 r=132.184.55.47:53211
t=2026-02-20T12:41:37-0500 lvl=info msg="join connections" obj=join id=caf46f969370 l=[::1]:3000 r=132.184.55.198:47794
t=2026-02-20T12:42:31-0500 lvl=info msg="join connections" obj=join id=08cd47f148f8 l=[::1]:3000 r=132.184.55.198:47794
t=2026-02-20T12:42:49-0500 lvl=info msg="join connections" obj=join id=b3b018c1d0b2 l=[::1]:3000 r=132.184.55.198:51985
t=2026-02-20T12:42:50-0500 lvl=info msg="join connections" obj=join id=0e7f3dbfbd16 l=[::1]:3000 r=132.184.55.198:52944
t=2026-02-20T12:42:50-0500 lvl=info msg="join connections" obj=join id=1e52822b2b72 l=[::1]:3000 r=132.184.55.198:51985
t=2026-02-20T12:56:38-0500 lvl=info msg="join connections" obj=join id=a58f3db9de04 l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:38-0500 lvl=info msg="join connections" obj=join id=8ef8e9f5bd3b l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:38-0500 lvl=info msg="join connections" obj=join id=084178c9c4a6 l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:38-0500 lvl=info msg="join connections" obj=join id=d7f80809a517 l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:39-0500 lvl=info msg="join connections" obj=join id=53e7c7c30bf7 l=[::1]:3000 r=132.184.55.198:58434
t=2026-02-20T12:56:46-0500 lvl=info msg="join connections" obj=join id=32a3f284aa72 l=[::1]:3000 r=132.184.55.198:64885
t=2026-02-20T12:56:46-0500 lvl=info msg="join connections" obj=join id=e71362f8bb90 l=[::1]:3000 r=132.184.55.198:64885
t=2026-02-20T12:56:47-0500 lvl=info msg="join connections" obj=join id=c506a70aebf2 l=[::1]:3000 r=132.184.55.198:1562
t=2026-02-20T12:56:57-0500 lvl=info msg="join connections" obj=join id=8d91e8887b86 l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:57-0500 lvl=info msg="join connections" obj=join id=6dfebce704fb l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:57-0500 lvl=info msg="join connections" obj=join id=c95df73f4e98 l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:57-0500 lvl=info msg="join connections" obj=join id=aaa43b93db82 l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:58-0500 lvl=info msg="join connections" obj=join id=7f87b877dba6 l=[::1]:3000 r=132.184.55.198:57045
t=2026-02-20T12:56:58-0500 lvl=info msg="join connections" obj=join id=f900af2752c3 l=[::1]:3000 r=132.184.55.198:14664
t=2026-02-20T12:57:06-0500 lvl=info msg="join connections" obj=join id=ce3464bda556 l=[::1]:3000 r=132.184.55.198:21761
t=2026-02-20T12:57:06-0500 lvl=info msg="join connections" obj=join id=0631429381be l=[::1]:3000 r=132.184.55.198:64885
t=2026-02-20T12:57:07-0500 lvl=info msg="join connections" obj=join id=36c217d27bc0 l=[::1]:3000 r=132.184.55.198:64885
t=2026-02-20T12:57:07-0500 lvl=info msg="join connections" obj=join id=d2733d0b8643 l=[::1]:3000 r=132.184.55.198:22739
t=2026-02-20T12:57:18-0500 lvl=info msg="join connections" obj=join id=5eee9fae1cb5 l=[::1]:3000 r=132.184.55.198:33649
t=2026-02-20T12:57:27-0500 lvl=info msg="join connections" obj=join id=49989f93b09f l=[::1]:3000 r=132.184.55.198:33649
t=2026-02-20T12:57:27-0500 lvl=info msg="join connections" obj=join id=64aaa7855186 l=[::1]:3000 r=132.184.55.198:42161
t=2026-02-20T12:57:36-0500 lvl=info msg="join connections" obj=join id=a710e9d6662a l=[::1]:3000 r=132.184.55.198:33649
t=2026-02-20T12:57:36-0500 lvl=info msg="join connections" obj=join id=fb31ef1d4c27 l=[::1]:3000 r=132.184.55.198:42161
t=2026-02-20T12:57:43-0500 lvl=info msg="join connections" obj=join id=8a34f69c1e03 l=[::1]:3000 r=132.184.55.198:33649
t=2026-02-20T12:57:43-0500 lvl=info msg="join connections" obj=join id=2270cad1bedc l=[::1]:3000 r=132.184.55.198:42161
t=2026-02-20T12:58:03-0500 lvl=info msg="join connections" obj=join id=50a33253d1a6 l=[::1]:3000 r=132.184.55.198:33649
t=2026-02-20T12:58:03-0500 lvl=info msg="join connections" obj=join id=6b77475c63ea l=[::1]:3000 r=132.184.55.198:42161
t=2026-02-20T12:58:19-0500 lvl=info msg="join connections" obj=join id=8725e97e3388 l=[::1]:3000 r=132.184.55.198:33649
t=2026-02-20T12:58:19-0500 lvl=info msg="join connections" obj=join id=2561b917abcb l=[::1]:3000 r=132.184.55.198:42161
