t=2026-02-28T09:21:02-0500 lvl=info msg="open config file" path=C:\\Users\\via\\Downloads\\KENIA\\.run\\ngrok_multi.yml err=nil
t=2026-02-28T09:21:02-0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-28T09:21:02-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-28T09:21:02-0500 lvl=info msg=start pg=/api/tunnels id=e7bf696c303489ef
t=2026-02-28T09:21:02-0500 lvl=info msg=end pg=/api/tunnels id=e7bf696c303489ef status=200 dur=0s
t=2026-02-28T09:21:04-0500 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-28T09:21:04-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-28T09:21:04-0500 lvl=info msg=start pg=/api/tunnels id=7566e530c5756222
t=2026-02-28T09:21:04-0500 lvl=info msg=end pg=/api/tunnels id=7566e530c5756222 status=200 dur=0s
t=2026-02-28T09:21:04-0500 lvl=info msg="update available" obj=updater
t=2026-02-28T09:21:04-0500 lvl=info msg="started tunnel" obj=tunnels name=kenia addr=http://localhost:3000 url=https://crooked-fanny-principally.ngrok-free.dev
t=2026-02-28T09:21:05-0500 lvl=info msg=start pg=/api/tunnels id=cac5d36a371df7d7
t=2026-02-28T09:21:05-0500 lvl=info msg=end pg=/api/tunnels id=cac5d36a371df7d7 status=200 dur=0s
t=2026-02-28T09:22:59-0500 lvl=info msg="join connections" obj=join id=f8fc8a96ab22 l=[::1]:3000 r=[2803:a3e0:1842:8840:f0f7:dfd:754c:3892]:55230
t=2026-02-28T09:23:00-0500 lvl=info msg="join connections" obj=join id=6f3ef691489b l=[::1]:3000 r=[2803:a3e0:1842:8840:f0f7:dfd:754c:3892]:55230
t=2026-02-28T09:23:01-0500 lvl=info msg="join connections" obj=join id=2f67ff022332 l=[::1]:3000 r=[2803:a3e0:1842:8840:f0f7:dfd:754c:3892]:53399
t=2026-02-28T09:23:03-0500 lvl=info msg="join connections" obj=join id=ebc1ba983ff0 l=[::1]:3000 r=132.184.55.198:26783
t=2026-02-28T09:23:03-0500 lvl=info msg="join connections" obj=join id=f8772af74b3d l=[::1]:3000 r=132.184.55.198:26783
t=2026-02-28T09:23:03-0500 lvl=info msg="join connections" obj=join id=2bc41589f47b l=[::1]:3000 r=132.184.55.198:26783
t=2026-02-28T09:23:03-0500 lvl=info msg="join connections" obj=join id=98715ec95878 l=[::1]:3000 r=132.184.55.198:26783
t=2026-02-28T09:23:04-0500 lvl=info msg="join connections" obj=join id=47de7503c8cd l=[::1]:3000 r=132.184.55.198:26783
t=2026-02-28T09:23:04-0500 lvl=info msg="join connections" obj=join id=29080ac4b903 l=[::1]:3000 r=132.184.55.198:27622
t=2026-02-28T09:23:08-0500 lvl=info msg="join connections" obj=join id=69860acb16be l=[::1]:3000 r=132.184.55.198:26783
t=2026-02-28T09:24:07-0500 lvl=info msg="join connections" obj=join id=230f09af1160 l=[::1]:3000 r=[2803:a3e0:1842:8840:f0f7:dfd:754c:3892]:55230
t=2026-02-28T09:24:13-0500 lvl=info msg="join connections" obj=join id=98447d94d2f3 l=[::1]:3000 r=132.184.55.198:6416
t=2026-02-28T09:24:14-0500 lvl=info msg="join connections" obj=join id=995a0a033036 l=[::1]:3000 r=132.184.55.198:7067
t=2026-02-28T09:24:17-0500 lvl=info msg="join connections" obj=join id=3881bb794419 l=[::1]:3000 r=132.184.55.198:7067
t=2026-02-28T09:24:17-0500 lvl=info msg="join connections" obj=join id=030b5ff51fa1 l=[::1]:3000 r=132.184.55.198:9439
t=2026-02-28T09:59:14-0500 lvl=info msg="join connections" obj=join id=ffa28ca4fd04 l=[::1]:3000 r=132.184.55.198:47103
